sample	metabolite	derivative	isotopologue	area	corrected_area	isotopologue_fraction	residuum	mean_enrichment
Intracellular_16_01	Alanine		0	345525.0	348799.6218183132	0.10301573331210523	3.468613974318795e-17	0.539532273676368
Intracellular_16_01	Alanine		1	1122626.0	1132999.6576076203	0.33462418898954527	0.0	0.539532273676368
Intracellular_16_01	Alanine		2	1352918.0	1364876.7453244946	0.40310760105548976	0.0	0.539532273676368
Intracellular_16_01	Alanine		3	535180.0	539210.874307604	0.1592524766428597	0.0	0.539532273676368
Intracellular_16_02	Alanine		0	347888.0	351185.0165259514	0.10940338217458022	3.658624884643869e-17	0.5253147041285801
Intracellular_16_02	Alanine		1	1108438.0	1118675.3772733798	0.34849684374301404	7.317249769287737e-17	0.5253147041285801
Intracellular_16_02	Alanine		2	1269140.0	1280315.6744549735	0.3988520536044913	0.0	0.5253147041285801
Intracellular_16_02	Alanine		3	456476.0	459825.39189752686	0.14324772047791445	0.0	0.5253147041285801
Intracellular_16_03	Alanine		0	430953.0	435037.24309809005	0.1287351924668068	1.7376463756024587e-17	0.5095659709537953
Intracellular_16_03	Alanine		1	1170007.0	1180763.998262122	0.34940889081507237	-1.390117100481967e-16	0.5095659709537953
Intracellular_16_03	Alanine		2	1293995.0	1305358.9288483893	0.38627872810804864	0.0	0.5095659709537953
Intracellular_16_03	Alanine		3	454844.0	458158.528602218	0.13557718861007212	-1.7376463756024587e-17	0.5095659709537953
Intracellular_16_04	Alanine		0	384606.0	388251.001661397	0.11906546697514654	1.8007940677358245e-17	0.514661697334305
Intracellular_16_04	Alanine		1	1144492.0	1155042.8307554994	0.35421856848198985	0.0	0.514661697334305
Intracellular_16_04	Alanine		2	1261884.0	1272963.2010420559	0.39038137010766566	-7.203176270943298e-17	0.514661697334305
Intracellular_16_04	Alanine		3	441351.0	444562.5099812933	0.13633459443519796	-1.8007940677358245e-17	0.514661697334305
Intracellular_16_05	Alanine		0	537227.0	542318.4268304377	0.14289627735929084	0.0	0.49944283440453413
Intracellular_16_05	Alanine		1	1313899.0	1325937.9643327752	0.3493733381324885	-1.2377883169005225e-16	0.49944283440453413
Intracellular_16_05	Alanine		2	1407963.0	1420296.429456586	0.3742359884435479	-6.188941584502613e-17	0.49944283440453413
Intracellular_16_05	Alanine		3	502954.0	506636.5072789324	0.13349439606467273	0.0	0.49944283440453413
Proteinogenic_12800_01	Alanine		0	733293.0	740242.5904985642	0.10872831063940357	1.7250026349790243e-17	0.519135015691519
Proteinogenic_12800_01	Alanine		1	2445820.0	2468435.6575086913	0.3625687611168409	0.0	0.519135015691519
Proteinogenic_12800_01	Alanine		2	2640710.0	2663856.049815365	0.3912724987735508	0.0	0.519135015691519
Proteinogenic_12800_01	Alanine		3	928881.0	935651.9615369302	0.1374304294702048	-1.7250026349790243e-17	0.519135015691519
Proteinogenic_12800_02	Alanine		0	726630.0	733516.443678	0.1064239053193107	1.7039244503654585e-17	0.5208100397525101
Proteinogenic_12800_02	Alanine		1	2469131.0	2491972.705670618	0.3615535405815887	6.815697801461834e-17	0.5208100397525101
Proteinogenic_12800_02	Alanine		2	2700125.0	2723816.208035702	0.39519108362136046	0.0	0.5208100397525101
Proteinogenic_12800_02	Alanine		3	936302.0	943097.6368224982	0.13683147047774016	-1.7039244503654585e-17	0.5208100397525101
Proteinogenic_12800_03	Alanine		0	770067.0	777365.1063592014	0.10999151229667528	1.6617079656696182e-17	0.5179124544619139
Proteinogenic_12800_03	Alanine		1	2533879.0	2557300.93155832	0.36183949415633127	0.0	0.5179124544619139
Proteinogenic_12800_03	Alanine		2	2750645.0	2774765.2275826726	0.39260911141156984	6.646831862678473e-17	0.5179124544619139
Proteinogenic_12800_03	Alanine		3	951172.0	958069.5818601786	0.1355598821354236	0.0	0.5179124544619139
Proteinogenic_12800_04	Alanine		0	734305.0	741264.1814609552	0.10765477061946481	1.7056182884283144e-17	0.5200237394497551
Proteinogenic_12800_04	Alanine		1	2478035.0	2500955.18835199	0.3632170066560483	-6.822473153713258e-17	0.5200237394497551
Proteinogenic_12800_04	Alanine		2	2665666.0	2689023.7886592997	0.39053045648024387	0.0	0.5200237394497551
Proteinogenic_12800_04	Alanine		3	947397.0	954324.2640914597	0.13859776624424308	-1.7056182884283144e-17	0.5200237394497551
Proteinogenic_12800_05	Alanine		0	739123.0	746127.8427819035	0.10691001939526393	0.0	0.5190283741331833
Proteinogenic_12800_05	Alanine		1	2527237.0	2550619.781909525	0.365469286519574	0.0	0.5190283741331833
Proteinogenic_12800_05	Alanine		2	2706808.0	2730517.8640497825	0.39124624637551064	0.0	0.5190283741331833
Proteinogenic_12800_05	Alanine		3	944889.0	951760.8644703265	0.1363744477096515	-3.365549657279054e-17	0.5190283741331833
Proteinogenic_1600_01	Alanine		0	2735390.0	2761313.9353899024	0.10317098462069722	0.0	0.5285897780263508
Proteinogenic_1600_01	Alanine		1	9410767.0	9497851.34509094	0.35486826126334015	0.0	0.5285897780263508
Proteinogenic_1600_01	Alanine		2	10479372.0	10571451.526626976	0.39498118953217604	0.0	0.5285897780263508
Proteinogenic_1600_01	Alanine		3	3904883.0	3933826.1759821465	0.14697956458378664	0.0	0.5285897780263508
Proteinogenic_1600_02	Alanine		0	2729469.0	2755336.820678127	0.10198534212487621	0.0	0.5287362316860408
Proteinogenic_1600_02	Alanine		1	9564589.0	9653135.706092497	0.3572987302951252	0.0	0.5287362316860408
Proteinogenic_1600_02	Alanine		2	10531645.0	10624101.626569534	0.39323781797699875	0.0	0.5287362316860408
Proteinogenic_1600_02	Alanine		3	3955036.0	3984414.3988416647	0.14747810960299992	0.0	0.5287362316860408
Proteinogenic_1600_03	Alanine		0	2801759.0	2828311.9300370617	0.10412458880861873	0.0	0.5279077796854129
Proteinogenic_1600_03	Alanine		1	9545374.0	9633683.004829299	0.3546650109336719	0.0	0.5279077796854129
Proteinogenic_1600_03	Alanine		2	10624341.0	10717690.94846311	0.3945728726505611	0.0	0.5279077796854129
Proteinogenic_1600_03	Alanine		3	3953786.0	3983080.9750876753	0.14663752760714824	0.0	0.5279077796854129
Proteinogenic_1600_04	Alanine		0	2805853.0	2832444.7298394614	0.10416738402597454	0.0	0.5279209795579982
Proteinogenic_1600_04	Alanine		1	9578226.0	9666843.202393156	0.3555125922049829	0.0	0.5279209795579982
Proteinogenic_1600_04	Alanine		2	10585326.0	10678280.930977996	0.3927097248381157	0.0	0.5279209795579982
Proteinogenic_1600_04	Alanine		3	3984101.0	4013713.286422521	0.14761029893092678	0.0	0.5279209795579982
Proteinogenic_1600_05	Alanine		0	2768947.0	2795188.96298373	0.10319419464110915	0.0	0.5280118037878823
Proteinogenic_1600_05	Alanine		1	9552770.0	9641174.333238995	0.35593773225660874	0.0	0.5280118037878823
Proteinogenic_1600_05	Alanine		2	10592830.0	10685875.60401497	0.39450654019980813	0.0	0.5280118037878823
Proteinogenic_1600_05	Alanine		3	3935305.0	3964449.190162098	0.14636153290247392	0.0	0.5280118037878823
Proteinogenic_25600_01	Alanine		0	406192.0	410041.5772682854	0.11154944345653399	1.5974583696890446e-17	0.5152363408596908
Proteinogenic_25600_01	Alanine		1	1329883.0	1342174.2237556537	0.36513074766486286	0.0	0.5152363408596908
Proteinogenic_25600_01	Alanine		2	1418891.0	1431315.6270715047	0.38938115172159976	-6.389833478756178e-17	0.5152363408596908
Proteinogenic_25600_01	Alanine		3	488801.0	492341.4813741667	0.13393865715700337	-1.5974583696890446e-17	0.5152363408596908
