Metabolites	isotopologues	Intracellular_16_	Theoretical CID
Alanine	M0	-12.5751501	0
Alanine	M1	5.27275030000001	0
Alanine	M2	6.9499497	0
Alanine	M3	0.3520501	0
Arginine	M0	-1.5813440003753	0
Arginine	M0	-9.4501874992488	0
Arginine	M0	-23.5311554996265	0
Arginine	M0	-31.2496250015	0
Arginine	M0	-23.3436569996235	0
Arginine	M0	-9.3001874992512	0
Arginine	M0	-1.5438435003747	0
Asparagine	M0	52.5170497999	0
Asparagine	M1	-4.0097995996	0
Asparagine	M2	-24.1327000006	0
Asparagine	M3	-19.0066003996	0
Asparagine	M4	-5.3675498001	0
Aspartate	M0	-0.490750200100001	0
Aspartate	M1	0.213400400400005	0
Aspartate	M2	1.51789999940001	0
Aspartate	M3	0.492399600399998	0
Aspartate	M4	-1.7323498001	0
Glutamate	M0	-0.2473752502501	0
Glutamate	M1	-0.188074749249503	0
Glutamate	M2	-0.0260495005009964	0
Glutamate	M3	0.333549499501001	0
Glutamate	M4	0.443424750749499	0
Glutamate	M5	-0.3150747502499	0
Glutamine	M0	-1.1789752502501	0
Glutamine	M1	-0.824274749249504	0
Glutamine	M2	1.72455049949901	0
Glutamine	M3	2.116949499501	0
Glutamine	M4	-0.3859752492505	0
Glutamine	M5	-1.4522747502499	0
Glycine	M0	4.27170000000001	0
Glycine	M1	2.1912	0
Glycine	M2	-6.4633	0
Histidine	M0	-1.5813440003753	0
Histidine	M1	-9.4501874992488	0
Histidine	M2	2.82844450037349	0
Histidine	M3	12.2751749985	0
Histidine	M4	-1.2582569996235	0
Histidine	M5	-1.2701874992512	0
Histidine	M6	-1.5438435003747	0
Isoleucine	M0	-1.5813440003753	0
Isoleucine	M1	-2.5951874992488	0
Isoleucine	M2	1.6972445003735	0
Isoleucine	M3	4.5703749985	0
Isoleucine	M4	2.2511430003765	0
Isoleucine	M5	-3.0559874992512	0
Isoleucine	M6	-1.2864435003747	0
Leucine	M0	0.6362559996247	0
Leucine	M1	-0.349987499248798	0
Leucine	M2	0.263244500373494	0
Leucine	M3	0.472974998500003	0
Leucine	M4	0.371743000376501	0
Leucine	M5	-0.386587499251198	0
Leucine	M6	-1.0076435003747	0
Lysine	M0	-1.5813440003753	0
Lysine	M1	-4.6425874992488	0
Lysine	M2	0.776844500373494	0
Lysine	M3	10.4363749985	0
Lysine	M4	0.569543000376502	0
Lysine	M5	-4.0145874992512	0
Lysine	M6	-1.5438435003747	0
Methionine	M0	-1.6653752502501	0
Methionine	M1	-12.8016747492495	0
Methionine	M2	14.462750499499	0
Methionine	M3	2.049349499501	0
Methionine	M4	1.0490247507495	0
Methionine	M5	-3.0938747502499	0
Phenylalanine	M0	2.02674361835546	0
Phenylalanine	M1	-0.224562894142959	0
Phenylalanine	M2	-0.456987498421851	0
Phenylalanine	M3	-0.303286448428156	0
Phenylalanine	M4	-0.353999214867218	0
Phenylalanine	M5	-0.00956328985777244	0
Phenylalanine	M6	0.0849864515781423	0
Phenylalanine	M7	-0.14036249842815	0
Phenylalanine	M8	-0.443943356644534	0
Phenylalanine	M9	-0.178824869142964	0
Proline	M0	-0.8875752502501	0
Proline	M1	-0.990874749249504	0
Proline	M2	2.13655049949901	0
Proline	M3	2.622149499501	0
Proline	M4	-0.789775249250502	0
Proline	M5	-2.0904747502499	0
Serine	M0	21.8274499	0
Serine	M1	-6.5980497	0
Serine	M2	-7.5316503	0
Serine	M3	-7.6975499	0
Threonine	M0	-1.8873502001	0
Threonine	M1	-0.357999599599998	0
Threonine	M2	5.86369999940001	0
Threonine	M3	-0.0670003996000007	0
Threonine	M4	-3.5511498001	0
Tryptophan	M0	53.4604868493508	0
Tryptophan	M1	5.91394713789772	0
Tryptophan	M2	0.034850916277054	0
Tryptophan	M3	1.25596770791766	0
Tryptophan	M4	-16.2066950648666	0
Tryptophan	M5	-22.5984588668978	0
Tryptophan	M6	-9.14362629657089	0
Tryptophan	M7	-16.0133385257897	0
Tryptophan	M8	3.2764998758792	0
Tryptophan	M9	-2.39435286888641	0
Tryptophan	M10	-0.525116280069589	0
Tryptophan	M11	2.93983541575853	0
Tyrosine	M0	0.437543618355461	0
Tyrosine	M1	-1.34336289414296	0
Tyrosine	M2	-3.92818749842185	0
Tyrosine	M3	-0.448886448428154	0
Tyrosine	M4	6.01800078513278	0
Tyrosine	M5	5.92403671014223	0
Tyrosine	M6	-1.09601354842186	0
Tyrosine	M7	-3.98636249842815	0
Tyrosine	M8	-1.38474335664453	0
Tyrosine	M9	-0.191824869142964	0
Valine	M0	0.3948247497499	0
Valine	M1	-0.188474749249504	0
Valine	M2	1.10015049949901	0
Valine	M3	1.339549499501	0
Valine	M4	-0.883175249250501	0
Valine	M5	-1.7626747502499	0
