Metabolites	isotopologues	Intracellular_16_01	Intracellular_16_02	Intracellular_16_03	Intracellular_16_04	Intracellular_16_05	Theoretical CID
Alanine	M0	-12.5751501	-12.5751501	-12.5751501	-12.5751501	-12.5751501	0
Alanine	M1	5.4471503	5.1141503	5.5701503	5.1371503	5.09515030000001	0
Alanine	M2	6.9841497	7.0441497	6.7511497	6.8531497	7.1171497	0
Alanine	M3	0.143850099999999	0.416850100000001	0.253850100000001	0.583850100000001	0.361850100000001	0
Arginine	M0	-1.5813440003753	-1.5813440003753	-1.5813440003753	-1.5813440003753	-1.5813440003753	0
Arginine	M0	-9.4501874992488	-9.4501874992488	-9.4501874992488	-9.4501874992488	-9.4501874992488	0
Arginine	M0	-23.5311554996265	-23.5311554996265	-23.5311554996265	-23.5311554996265	-23.5311554996265	0
Arginine	M0	-31.2496250015	-31.2496250015	-31.2496250015	-31.2496250015	-31.2496250015	0
Arginine	M0	-23.3436569996235	-23.3436569996235	-23.3436569996235	-23.3436569996235	-23.3436569996235	0
Arginine	M0	-9.3001874992512	-9.3001874992512	-9.3001874992512	-9.3001874992512	-9.3001874992512	0
Arginine	M0	-1.5438435003747	-1.5438435003747	-1.5438435003747	-1.5438435003747	-1.5438435003747	0
Asparagine	M0	50.2228497999	51.9268497999	40.8768497999	62.1028497999	57.4558497999	0
Asparagine	M1	1.0820004004	-2.3439995996	0.0260004004000003	-9.4419995996	-9.3709995996	0
Asparagine	M2	-25.8337000006	-24.0077000006	-19.2307000006	-27.4087000006	-24.1827000006	0
Asparagine	M3	-19.9890003996	-20.0770003996	-16.6730003996	-19.7000003996	-18.5940003996	0
Asparagine	M4	-5.4821498001	-5.4971498001	-4.9991498001	-5.5521498001	-5.3071498001	0
Aspartate	M0	-0.5521502001	-0.451150200100001	-0.4301502001	-0.619150200100001	-0.401150200100001	0
Aspartate	M1	0.357000400400004	0.150000400400002	0.165000400400001	0.179000400400003	0.216000400400002	0
Aspartate	M2	1.46029999940001	1.2922999994	1.59929999940001	1.81729999940001	1.4202999994	0
Aspartate	M3	0.390999600400002	0.557999600399997	0.559999600399999	0.467999600400001	0.484999600400002	0
Aspartate	M4	-1.6551498001	-1.5481498001	-1.8931498001	-1.8461498001	-1.7191498001	0
Glutamate	M0	-0.2773752502501	-0.2363752502501	-0.2503752502501	-0.2753752502501	-0.1973752502501	0
Glutamate	M1	-0.272874749249505	-0.0998747492495039	-0.226874749249503	-0.258874749249505	-0.0818747492495026	0
Glutamate	M2	0.161750499499008	-0.270249500500996	0.0347504994990089	0.0357504994990043	-0.092249500500996	0
Glutamate	M3	0.134749499501002	0.414749499501005	0.422749499501002	0.421749499501001	0.273749499501003	0
Glutamate	M4	0.5576247507495	0.526624750749499	0.307624750749499	0.408624750749498	0.4166247507495	0
Glutamate	M5	-0.3028747502499	-0.3348747502499	-0.2888747502499	-0.3298747502499	-0.3188747502499	0
Glutamine	M0	-1.0603752502501	-1.1003752502501	-1.2973752502501	-1.2133752502501	-1.2233752502501	0
Glutamine	M1	-0.392874749249503	-0.615874749249504	-1.1048747492495	-1.0488747492495	-0.958874749249503	0
Glutamine	M2	1.877750499499	1.50375049949901	2.00675049949901	1.87175049949901	1.362750499499	0
Glutamine	M3	2.027749499501	1.941749499501	2.159749499501	2.183749499501	2.271749499501	0
Glutamine	M4	-1.0443752492505	-0.275375249250501	-0.336375249250501	-0.2023752492505	-0.0713752492505021	0
Glutamine	M5	-1.4078747502499	-1.4548747502499	-1.4278747502499	-1.5898747502499	-1.3808747502499	0
Glycine	M0	5.2029	6.2919	0.00790000000000513	7.3569	2.4989	0
Glycine	M1	-0.246800000000003	0.765200000000005	4.3862	-0.555800000000001	6.6072	0
Glycine	M2	-4.9561	-7.0571	-4.3951	-6.8011	-9.1071	0
Histidine	M0	-1.5813440003753	-1.5813440003753	-1.5813440003753	-1.5813440003753	-1.5813440003753	0
Histidine	M1	-9.4501874992488	-9.4501874992488	-9.4501874992488	-9.4501874992488	-9.4501874992488	0
Histidine	M2	1.5318445003735	3.2508445003735	1.7208445003735	4.92484450037349	2.7138445003735	0
